iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
GRL,Greenland,Europe & Central Asia,73652.03,73652.03,73652.03,73652.03,73652.03,73652.03,73652.03,73652.03,73652.03
GTM,Guatemala,Latin America & Caribbean,533116.88,5196268.93,20786651.05,42724714.62,69023702.46,17598712.81,14508229.02,14508229.02,14508229.02
GUM,Guam,East Asia & Pacific,880.37,8803.72,32500.00,32500.00,32500.00,32500.00,32500.00,32500.00,32500.00
GUY,Guyana,Latin America & Caribbean,13303.27,133032.71,386628.00,386628.00,386628.00,386628.00,386628.00,386628.00,386628.00
HKG,"Hong Kong SAR, China",East Asia & Pacific,81502.62,815026.20,3592635.47,4504904.55,4504904.55,4504904.55,4504904.55,4504904.55,4504904.55
HND,Honduras,Latin America & Caribbean,168805.77,1643978.24,6555777.72,13394271.96,21184964.20,5614433.54,4629058.65,4629058.65,4629058.65
HRV,Croatia,Europe & Central Asia,110352.56,1103525.65,1335627.77,1335627.77,1335627.77,1335627.77,1335627.77,1335627.77,1335627.77
HTI,Haiti,Latin America & Caribbean,75964.32,741235.50,2977534.44,6168718.31,10249760.80,3035863.12,2830712.45,2830712.45,2830712.45
HUN,Hungary,Europe & Central Asia,320282.46,2775238.40,2775238.40,2775238.40,2775238.40,2775238.40,2775238.40,2775238.40,2775238.40
IDN,Indonesia,East Asia & Pacific,18152023.33,174387662.24,660441235.97,1223038465.17,656970148.95,222023668.98,216464746.56,216464746.56,216464746.56
IND,India,South Asia,23600283.05,231838370.90,955319828.34,2077595355.25,4099598119.54,1460428055.47,696697488.07,696697488.07,696697488.07
IRL,Ireland,Europe & Central Asia,526025.78,2653210.49,2653210.49,2653210.49,2653210.49,2653210.49,2653210.49,2653210.49,2653210.49
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",292016.28,2920162.77,12872077.48,31829774.16,58151853.51,58151853.51,58151853.51,58151853.51,58151853.51
