no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
368,Group 10-48,v2 mini,"14 March 2026, 12:37",29,,29,Success
369,Group 17-24,v2 mini,"17 March 2026, 05:19",25,,25,Success
370,Group 10-46,v2 mini,"17 March 2026, 13:27",29,,29,Success
371,Group 10-33,v2 mini,"19 March 2026, 14:20",29,,29,Success
372,Group 17-15,v2 mini,"20 March 2026, 21:51",25,,25,Success
373,Group 10-62,v2 mini,"22 March 2026, 14:47",29,,29,Success
374,Group 17-17,v2 mini,"26 March 2026, 23:03",25,,25,Success
375,Group 10-44,v2 mini,"30 March 2026, 23:15",29,,29,Success
376,Group 10-58,v2 mini,"2 April 2026, 11:55",29,,29,Success
377,Group 17-35,v2 mini,"7 April 2026, 02:51",25,,25,Success
378,Group 17-21,v2 mini,"11 April 2026, 05:04",25,,25,Success
379,Group 10-24,v2 mini,"14 April 2026, 09:23",29,,29,Success
380,Group 17-27,v2 mini,"15 April 2026, 04:29",25,,25,Success
381,Group 17-22,v2 mini,"19 April 2026, 16:03",25,,25,Success
